The Fratellis,5543
Camera Obscura,5477
Radiohead,5032
Wilco,4845
Band of Horses,4681
Lucky Soul,4571
The Vaccines,4196
Eels,3974
The National,3790
The Smashing Pumpkins,3634
Kashmir,3606
The Shins,3182
The Damnwells,3114
She & Him,2974
Death Cab for Cutie,2938
Interpol,2718
Josh Ritter,2634
Stars,2571
The Decemberists,2464
Shout Out Louds,2433
Counting Crows,2342
Voxtrot,2269
The Temper Trap,2196
Belle and Sebastian,2196
M. Ward,2195
Goo Goo Dolls,2187
Bright Eyes,1972
Guillemots,1956
Snow Patrol,1921
Joseph Arthur,1861
Oasis,1740
Someone Still Loves You Boris Yeltsin,1680
The 88,1673
The Courteeners,1666
Okkervil River,1599
Stereophonics,1588
The Tallest Man on Earth,1582
The Cure,1555
Pulp,1500
Hombres G,1499
The Killers,1321
Rilo Kiley,1304
Sparklehorse,1289
R.E.M.,1266
Mew,1260
Alabama Shakes,1237
James,1208
Jake Bugg,1204
Bleachers,1181
Pixies,1160
Ryan Adams,1118
Two Door Cinema Club,1070
Yuck,1068
Sambassadeur,1050
Nirvana,1048
Bishop Allen,1022
John Mayer,979
Placebo,940
Weezer,908
Spoon,904
Vampire Weekend,903
Cigarettes After Sex,871
Editors,859
Cage the Elephant,857
Sixpence None the Richer,847
The Mountain Goats,835
The Vines,825
Portugal. The Man,803
Beach House,802
Page France,776
The Clientele,747
New Radicals,745
Of Monsters and Men,743
The Black Keys,714
Dinosaur Jr.,713
Allo Darlin',705
The Lumineers,688
Mates of State,686
Gin Blossoms,676
The Cardigans,669
The Verve,662
The New Pornographers,645
The Beach Boys,633
The Beatles,630
San Cisco,625
The Cranberries,623
Blur,622
Foo Fighters,605
James Blunt,605
Suede,588
The Elected,575
Howie Day,572
Strand of Oaks,566
The Coral,560
Coconut Records,558
Ryan Adams & The Cardinals,558
The Hives,558
The Wallflowers,548
Pedro the Lion,544
Caesars,541
Best Coast,531
Jarvis Cocker,530
The Maldives,529
John Moreland,521
Vaquero,504
Eric Clapton,496
The Album Leaf,488
Kakkmaddafakka,475
A Fine Frenzy,464
Nada Surf,452
Slow Club,442
Bon Jovi,436
Elton John,434
CHVRCHES,429
Feist,428
of Montreal,426
Courteeners,423
Ingrid Michaelson,420
The Thrills,417
The Holloways,416
Green Day,415
Maritime,413
Blind Pilot,412
The School,411
Wheatus,410
The Kooks,406
Bell X1,390
Augustana,382
Gin Wigmore,377
Passenger,373
Saturday Looks Good To Me,372
Northern Portrait,371
Future Islands,360
Acid House Kings,352
Neutral Milk Hotel,352
The Submarines,352
Pearl Jam,351
Bob Dylan,350
Majical Cloudz,347
Beulah,341
Queen,340
Bon Iver,340
Kasey Anderson,335
Clap Your Hands Say Yeah,333
White Lies,315
Modest Mouse,307
Vance Joy,306
Velveteen,305
Regina Spektor,302
Ryan Star,298
The Waltons,292
Kings of Leon,290
Metric,281
The White Stripes,280
First Aid Kit,279
Bully,278
Dirty Pretty Things,275
Travis,269
Yeah Yeah Yeahs,267
Young the Giant,261
Mumford & Sons,261
Electric President,258
Tilly and the Wall,257
Cat Power,252
Zwan,250
Damien Jurado,249
Starcraft,238
Muse,237
The Sunshine Underground,236
Damien Rice,233
I'm from Barcelona,232
The Fray,232
Sam Fender,231
The Cribs,229
Dave Matthews Band,228
The Magic Numbers,224
Shannon and the Clams,219
Bloc Party,217
Nizlopi,213
Savage Garden,210
The Libertines,208
Summer Salt,205
Delays,203
Au Revoir Simone,201
Cats On Fire,197
The Virgins,195
Supergrass,192
Gomez,191
The Notwist,190
The Pipettes,189
B.B. King,189
Creedence Clearwater Revival,189
Kodaline,184
The Score,184
Gold Motel,183
Pete Yorn & Scarlett Johansson,182
The Asteroids Galaxy Tour,181
Aberfeldy,180
Hanson,179
Red Hot Chili Peppers,176
Lisa Mitchell,172
Edward Sharpe & The Magnetic Zeros,171
Manic Street Preachers,167
The Raconteurs,165
LP,164
Remy Zero,163
The Kills,162
Cracker,161
Sugar Ray,160
Starsailor,160
The Apples in Stereo,159
Lit,159
Danielle Brisebois,158
Frausdots,158
Better Than Ezra,157
Julian Plenti,157
Benjamin Booker,154
The Smiths,151
The Postal Service,149
The Spinto Band,147
Imagine Dragons,146
The Little Ones,146
The Rantings of EVA,145
The Wannadies,144
Lady Antebellum,143
The Maccabees,142
Coldplay,141
God Help the Girl,140
Andrew Bird,139
Deckard,138
Miner,138
Club 8,137
Alex Dezen,135
Alvvays,135
Eagles,135
Ella Fitzgerald,135
Michael Grimm,135
The Whitest Boy Alive,132
Foals,132
Norah Jones,129
Sunflower Bean,128
Phil Collins,125
Ellie Goulding,124
Sing Street,123
The Postmarks,119
Don McLean,118
Keane,118
John Mayall,118
Goldfinger,116
The Barr Brothers,115
Clare Bowditch,114
Tracy Chapman,114
Headlights,114
Goldspot,113
Maxïmo Park,112
Dead Man's Bones,111
St. Vincent,110
Sister Hazel,109
Silversun Pickups,108
Smash Mouth,107
Sarah McLachlan,106
Atherton,104
Beth Ditto,103
Eagles of Death Metal,102
Buddy Holly & The Crickets,102
Satanic Surfers,102
Charles Darwin,101
Blind Melon,100
Cary Brothers,99
Catfish and the Bottlemen,98
Ra Ra Riot,97
Atlas Genius,96
The Proclaimers,95
Mystery Jets,94
The Hush Sound,94
Arcade Fire,94
Conor Oberst,93
Wild Child,93
Miike Snow,92
Dan Auerbach,91
The Calling,91
Sheryl Crow,90
The Strokes,88
The Preatures,82
Toad The Wet Sprocket,82
Hudson Thames,82
Apoptygma Berzerk,81
The Colourist,80
Dope Lemon,79
Michael Penn,77
Local Natives,77
California Snow Story,75
The Concretes,75
The Weepies,75
Phoenix,74
Carolina Liar,74
Longpigs,73
The Vaselines,73
Liv Kwamie,72
Tame Impala,71
Brandon Flowers,71
Ben Folds Five,71
Harlem Shakes,70
The Eagles,69
Hal,69
The Lucksmiths,68
Toploader,68
The Olivia Tremor Control,68
Adam Levine,68
Bryan Adams,67
Paul Banks,67
The Velvet Underground,67
Buddy Holly,66
Rainer Maria,65
We Were Promised Jetpacks,65
Adam Duritz,65
Ingrid Michaelson feat. Greg Laswell,63
Jimmy Eat World,63
The Boy Least Likely To,60
Feeder,60
The Mr. T Experience,58
Aerosmith,57
Derek and the Dominos,57
Awolnation,57
The Reindeer Section,56
The Enemy,54
Jenny Lewis,53
The Jimi Hendrix Experience,52
Chuck Berry,51
Elliott Smith,50
Dido,50
Zooey Deschanel,49
Avi Buffalo,49
The Bright Light Social Hour,49
No Doubt,49
